ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
RCUS,2022-01-07,-8.221948477082206,11,35.37932536986952,6.427371495833088,1.4013999361310012,Friday,1,2022-01-07,True
HRMY,2022-01-07,-7.910933549700506,11,39.94451489144857,6.245601917457608,0.9743417611352416,Friday,1,2022-01-07,True
TREX,2022-01-10,-4.540850628703353,3,37.414444861576094,4.072888121387449,0.9087181930572964,Monday,1,2022-01-10,True
UNFI,2022-01-10,-9.825203133053057,9,36.19227075043245,4.471726567436927,1.940070314103081,Monday,1,2022-01-10,True
CCRN,2022-01-10,-17.10038033837511,9,31.87918921140188,6.108549753948726,1.831253201920907,Monday,1,2022-01-10,True
UTI,2022-01-11,10.10300231869853,24,37.49999324431156,4.186754651198562,2.2995138243555284,Tuesday,1,2022-01-11,True
MGTX,2022-01-11,-18.273365526950077,8,31.35047692011717,6.315806305095285,2.800782763986996,Tuesday,1,2022-01-11,True
SNDX,2022-01-12,-4.987880478568874,1,30.569296710864705,6.320687108253847,0.6841309294589528,Wednesday,1,2022-01-12,True
BW,2022-01-13,-11.111403445218006,7,33.762057232827374,5.373206205482823,1.4441482030395971,Thursday,1,2022-01-13,True
TENB,2022-01-14,-2.9137827679462545,7,29.71863588827816,4.958446670697439,0.5449149113822354,Friday,1,2022-01-14,True
PACK,2022-01-14,-10.462853031156913,4,31.827114998053677,5.75370009634321,0.5116586775749108,Friday,1,2022-01-14,True
MRAM,2022-01-18,14.175455830049884,21,34.64567394518751,9.123097639637797,1.835664064287253,Tuesday,1,2022-01-18,True
PRKS,2022-01-18,-5.2107631675482695,9,35.64199842558915,4.524415032716724,1.1875994004943973,Tuesday,1,2022-01-18,True
BZH,2022-01-18,-7.079486592033324,2,27.6190608211632,4.415089698820484,1.1599979741098303,Tuesday,1,2022-01-18,True
AOSL,2022-01-18,15.356125752722932,22,30.844718359035117,8.3888414031743,2.856142553068505,Tuesday,1,2022-01-18,True
HGV,2022-01-19,-3.1880156114546274,2,34.65147533800571,4.001031198755712,0.7333750449557583,Wednesday,1,2022-01-19,True
